item_id,date,p10,p50,p90
positive_count,2020-12-13T00:00:00Z,2552.03096183815,2715.2471125844613,2878.463263330773
positive_count,2020-12-14T00:00:00Z,2270.159693464054,2493.653407002278,2717.1471205405023
positive_count,2020-12-15T00:00:00Z,2440.2981913380054,2690.9662332554635,2941.6342751729217
positive_count,2020-12-16T00:00:00Z,2659.0780865911865,2920.900746268363,3182.7234059455395
positive_count,2020-12-17T00:00:00Z,2848.877984020797,3118.6111530860353,3388.3443221512734
positive_count,2020-12-18T00:00:00Z,2862.2349805224685,3145.2730039889993,3428.31102745553
positive_count,2020-12-19T00:00:00Z,2765.355367008048,3073.043156176877,3380.730945345706
positive_count,2020-12-20T00:00:00Z,2488.726758706889,2828.5076107559607,3168.2884628050324
positive_count,2020-12-21T00:00:00Z,2249.7107825900994,2617.6952418699793,2985.6797011498593
positive_count,2020-12-22T00:00:00Z,2395.2270335230487,2781.3056914951144,3167.38434946718
positive_count,2020-12-23T00:00:00Z,2564.473321451991,2960.854950320726,3357.236579189461
positive_count,2020-12-24T00:00:00Z,2723.644005040717,3127.8277893506006,3532.0115736604844
positive_count,2020-12-25T00:00:00Z,2748.301085599285,3162.43120034098,3576.561315082675
positive_count,2020-12-26T00:00:00Z,2697.944554589578,3127.310021452897,3556.6754883162166
positive_count,2020-12-27T00:00:00Z,2471.5198863086225,2920.5201888083748,3369.520491308127
positive_count,2020-12-28T00:00:00Z,2254.026088446133,2722.1193728157323,3190.2126571853314
positive_count,2020-12-29T00:00:00Z,2384.3452043184566,2866.949796665687,3349.554389012917
positive_count,2020-12-30T00:00:00Z,2520.119772565969,3012.6914461945844,3505.2631198231998
positive_count,2020-12-31T00:00:00Z,2655.045030725303,3155.6088433219165,3656.17265591853
positive_count,2021-01-01T00:00:00Z,2681.9881067447627,3191.393748004311,3700.799389263859
positive_count,2021-01-02T00:00:00Z,2658.1812086380805,3179.2299271685147,3700.278645698949
positive_count,2021-01-03T00:00:00Z,2463.7919066136606,2999.1312638648437,3534.470621116027
positive_count,2021-01-04T00:00:00Z,2262.5860736455006,2812.445585046434,3362.3050964473678
positive_count,2021-01-05T00:00:00Z,2385.418005064485,2947.5478867097418,3509.6777683549985
positive_count,2021-01-06T00:00:00Z,2499.396542602887,3071.046257404891,3642.695972206895
positive_count,2021-01-07T00:00:00Z,2616.1170288299236,3195.784707021041,3775.4523852121583
positive_count,2021-01-08T00:00:00Z,2641.5775831508545,3229.5041176218847,3817.430652092915
positive_count,2021-01-09T00:00:00Z,2633.394511198884,3231.113635798662,3828.83276039844
positive_count,2021-01-10T00:00:00Z,2460.3714263806773,3069.511414380243,3678.6514023798086
positive_count,2021-01-11T00:00:00Z,2271.9079402112548,2892.855463542069,3513.8029868728836
positive_count,2021-01-12T00:00:00Z,2391.902272428677,3023.526653437461,3655.151034446245
positive_count,2021-01-13T00:00:00Z,2492.0747578223104,3132.6926666781997,3773.310575534089
positive_count,2021-01-14T00:00:00Z,2595.567329812867,3244.073359697204,3892.5793895815414
positive_count,2021-01-15T00:00:00Z,2618.1196767079628,3274.4744918829847,3930.8293070580066
positive_count,2021-01-16T00:00:00Z,2618.9896798823966,3284.0282083220673,3949.066736761738
positive_count,2021-01-17T00:00:00Z,2460.267550369915,3134.997962989867,3809.728375609819
positive_count,2021-01-18T00:00:00Z,2281.6436336372135,2966.4278299893945,3651.2120263415754
positive_count,2021-01-19T00:00:00Z,2401.350469014527,3095.6206155676823,3789.8907621208377
positive_count,2021-01-20T00:00:00Z,2493.0411056778057,3195.7629853102358,3898.484864942666
positive_count,2021-01-21T00:00:00Z,2587.180680798704,3297.5599394783885,4007.939198158073
positive_count,2021-01-22T00:00:00Z,2606.5691963543322,3324.4532286455637,4042.3372609367952
positive_count,2021-01-23T00:00:00Z,2612.516826094024,3338.3443231032843,4064.1718201125445
positive_count,2021-01-24T00:00:00Z,2463.3044837104376,3197.696143028558,3932.087802346678
positive_count,2021-01-25T00:00:00Z,2292.131162466183,3035.3755307998526,3778.6198991335223
positive_count,2021-01-26T00:00:00Z,2412.8039004281513,3164.62028907447,3916.4366777207883
positive_count,2021-01-27T00:00:00Z,2499.4806676445496,3259.2322443494777,4018.983821054406
positive_count,2021-01-28T00:00:00Z,2587.1727601541825,3354.2980642346643,4121.423368315146
positive_count,2021-01-29T00:00:00Z,2603.6888515187943,3378.0050661150385,4152.321280711283
positive_count,2021-01-30T00:00:00Z,2612.3484392352298,3394.069162132932,4175.789885030635
positive_count,2021-01-31T00:00:00Z,2469.3983220095643,3258.899174668297,4048.4000273270294
positive_count,2021-02-01T00:00:00Z,2303.762368290992,3101.2552551624267,3898.7481420338613
positive_count,2021-02-02T00:00:00Z,2425.900051186806,3231.2498322664615,4036.5996133461167
positive_count,2021-02-03T00:00:00Z,2509.769254573017,3322.5825198079156,4135.395785042814
positive_count,2021-02-04T00:00:00Z,2593.12959267955,3413.0136069542123,4232.897621228874
positive_count,2021-02-05T00:00:00Z,2607.273424445571,3434.0534999958663,4260.833575546161
positive_count,2021-02-06T00:00:00Z,2617.2779866402466,3451.0418791202515,4284.805771600257
positive_count,2021-02-07T00:00:00Z,2478.408026252391,3319.3760991117124,4160.344171971034
positive_count,2021-02-08T00:00:00Z,2316.821703096879,3165.140499405639,4013.4592957143986
positive_count,2021-02-09T00:00:00Z,2440.51226559001,3296.118500455988,4151.724735321965
positive_count,2021-02-10T00:00:00Z,2522.94041600321,3385.5894551621222,4248.2384943210345
positive_count,2021-02-11T00:00:00Z,2603.4716342470656,3472.8901125958605,4342.308590944655
positive_count,2021-02-12T00:00:00Z,2615.776148748384,3491.8124759354837,4367.848803122583
positive_count,2021-02-13T00:00:00Z,2626.3691982329847,3509.0430849821737,4391.716971731363
positive_count,2021-02-14T00:00:00Z,2490.131172553308,3379.5652481608126,4268.9993237683175
positive_count,2021-02-15T00:00:00Z,2331.467585070408,3227.757425941023,4124.047266811638
positive_count,2021-02-16T00:00:00Z,2456.5957536740266,3359.71170628182,4262.827658889613
positive_count,2021-02-17T00:00:00Z,2538.4018596212736,3448.1898640935287,4357.977868565784
positive_count,2021-02-18T00:00:00Z,2617.147094107074,3533.4167702287127,4449.686446350352
positive_count,2021-02-19T00:00:00Z,2628.0949156788897,3550.721126944986,4473.3473382110815
positive_count,2021-02-20T00:00:00Z,2638.8842797628545,3567.8520276903255,4496.819775617797
positive_count,2021-02-21T00:00:00Z,2504.3305747022564,3439.701766673733,4375.072958645209
positive_count,2021-02-22T00:00:00Z,2347.755270612999,3289.5878246633633,4231.420378713728
positive_count,2021-02-23T00:00:00Z,2474.12287095203,3422.4013384724717,4370.679805992913
positive_count,2021-02-24T00:00:00Z,2555.776858488997,3510.402053774255,4465.027249059513
positive_count,2021-02-25T00:00:00Z,2633.4443893241078,3594.282872530745,4555.121355737382
positive_count,2021-02-26T00:00:00Z,2643.4363204734564,3610.3875160003995,4577.338711527343
positive_count,2021-02-27T00:00:00Z,2654.240024697686,3627.27305115403,4600.306077610374
positive_count,2021-02-28T00:00:00Z,2520.7601541380136,3499.899943039687,4479.0397319413605
positive_count,2021-03-01T00:00:00Z,2365.6672120645635,3350.9449455757986,4336.222679087034
positive_count,2021-03-02T00:00:00Z,2493.0587585091835,3484.4637362157814,4475.868713922379
positive_count,2021-03-03T00:00:00Z,2574.813565513903,3572.2796813700047,4569.745797226106
positive_count,2021-03-04T00:00:00Z,2651.8734447874476,3655.3059552713635,4658.738465755279
positive_count,2021-03-05T00:00:00Z,2661.224013033337,3670.543075924487,4679.862138815637
positive_count,2021-03-06T00:00:00Z,2671.975714979357,3687.144840804795,4702.313966630233
positive_count,2021-03-07T00:00:00Z,2539.1829086774496,3560.205159999858,4581.227411322267
positive_count,2021-03-08T00:00:00Z,2385.1397871695817,3412.02801714809,4438.916247126598
positive_count,2021-03-09T00:00:00Z,2513.35507145668,3546.099090312066,4578.843109167452
positive_count,2021-03-10T00:00:00Z,2595.332844772146,3633.8864110697714,4672.439977367397
positive_count,2021-03-11T00:00:00Z,2672.0893037344936,3716.3838014674293,4760.678299200365
positive_count,2021-03-12T00:00:00Z,2681.03509670404,3731.007278350223,4780.979459996406
positive_count,2021-03-13T00:00:00Z,2691.7275957264483,3747.340674535713,4802.9537533449775
positive_count,2021-03-14T00:00:00Z,2559.3811628678677,3620.6258187431545,4681.870474618441
positive_count,2021-03-15T00:00:00Z,2406.083651071377,3472.960608427064,4539.837565782751
positive_count,2021-03-16T00:00:00Z,2534.951247379802,3607.449239888392,4679.947232396982
positive_count,2021-03-17T00:00:00Z,2617.198383358693,3695.283091444585,4773.367799530477
positive_count,2021-03-18T00:00:00Z,2693.8426236807372,3777.463014828363,4861.083405975989
positive_count,2021-03-19T00:00:00Z,2702.5554405654184,3791.661124486504,4880.766808407589
positive_count,2021-03-20T00:00:00Z,2713.208117367263,3807.764507282488,4902.320897197713
positive_count,2021-03-21T00:00:00Z,2581.161086056099,3681.152331729,4781.143577401901
positive_count,2021-03-22T00:00:00Z,2428.397967724117,3533.8170899325805,4639.236212141044
